TIME,RPM,WSS
0,587,6145
65116,19072,6183
147288,18641,6152
216104,16756,6188
294348,18676,6102
379224,17799,6024
448312,17775,6024
532560,17737,5918
616936,17876,5884
695200,17195,5869
764340,17309,5841
848312,311,5775
917092,17046,5739
995320,16520,5691
1080364,16660,5630
1164496,16410,5543
1249160,16362,5461
1333632,16263,5462
1418060,15994,5350
1480660,210,5409
1533760,15512,5294
1618204,12,5322
1680808,15558,5182
1749620,15533,5201
1818416,15217,5166
1896648,15164,5133
1965824,14942,5039
2050144,14909,5015
2118508,507,4971
2181040,14661,4942
2249840,14531,4894
2334640,14294,4806
2418616,14289,4803
2481200,14036,4791
2565764,13750,4731
2650100,13786,4726
2719260,13768,4614
2781844,13890,4630
2850176,13465,4570
2934560,13422,4499
3019072,13326,4514
3081656,334,4474
3150472,13143,4424
3219268,13205,4394
3281876,12877,4329
3350688,12871,4331
3419488,12645,4263
3482072,12594,4263
3550956,12423,4231
3619688,12432,4166
3682288,12574,4194
3751088,12114,4147
3819900,12132,4076
3882504,12043,4070
3951232,294,4054
3998176,9,4020
4051696,198,3955
4098640,12003,3967
4152140,11589,3933
4221284,11542,3906
4283832,11519,3899
4352960,199,3843
4399992,11378,3834
4468668,11341,3788
4537500,11065,3771
4600084,75,3759
4653584,10998,3704
4722752,10940,3713
4785336,10822,3682
4854392,8194,3648
4923208,10687,3622
4985792,10631,3607
5054588,10661,3575
5139116,205,3530
5186044,10468,3551
5254856,213,3504
5301804,10297,3519
5370964,399,3465
5423616,44,3449
5470560,257,3443
5523716,10157,3433
5586316,10219,3418
5655324,436,3389
5702288,704,3371
5755736,10120,3343
5824876,9747,3340
5887444,113,3331
5956692,9945,3297
6019056,9755,3297
6081192,9667,3272
6143328,12,3263
6205464,9610,3232
6267616,9633,3210
6345272,37,3225
6407428,156,3207
6469560,127,3181
6531716,9485,3172
6609372,9444,3144
6687028,203,3138
6749144,9174,3104
6826840,116,3101
6889008,9190,3116
6951112,9278,3069
7028768,9141,3070
7090904,9063,3057
7153056,561,3045
7215296,9000,3042
7277328,3,3007
7339484,176,2998
7401688,183,2967
7463788,338,2979
7525908,9420,3008
7588028,378,2995
7650144,556,3010
7712264,265,2995
7774400,14,3038
7836584,207,3039
7914208,451,3066
7976396,511,3054
8038516,414,3041
8100652,9257,3088
8162820,408,3069
8224924,464,3082
8287060,364,3085
8349196,9314,3082
8426904,9403,3092
8504544,302,3128
8566696,2049,3122
8628816,391,3132
8690968,9445,3137
8768608,9561,3160
8846440,5,3156
8908452,9662,3169
8970572,605,3176
9032724,210,3196
9094912,19513,3191
9169144,493,3172
9222336,9812,3222
9284920,552,3216
9338420,9803,3191
9400920,9715,3228
9454456,9852,3237
9525628,9894,3241
9597000,4,3249
9657320,9903,3268
9725824,9855,3278
9788432,553,3281
9841548,12,3274
9888476,755,3306
9941940,609,3284
10004576,10074,3318
10073724,9930,3321
10142556,635,3325
10205160,10200,3349
10274316,490,3327
10342908,267,3371
10389832,4,3377
10442972,462,3392
10489916,719,3374
10558664,40,3380
10605624,360,3408
10659108,10519,3405
10727820,536,3390
10790424,667,3413
10843060,302,3430
10890036,129,3418
10958992,10503,3452
11027736,615,3457
11090444,569,3474
11159448,477,3458
11206428,209,3485
11259444,9,3495
11327764,503,3495
11375896,10720,3511
11444088,432,3520
11491032,10539,3527
11559896,10640,3533
11629056,10816,3532
11691800,10851,3564
11760424,10848,3570
11829500,305,3569
11876444,508,3595
11929776,10838,3589
11992324,7,3579
12045392,448,3641
12107960,10971,3619
12161496,486,3624
12208440,419,3638
12260988,10852,3648
12329804,11063,3682
12393136,605,3650
12445752,11154,3666
12508356,11215,3669
12577536,11159,3700
12646280,11110,3725
12708872,647,3723
12762384,591,3710
12809312,4,3756
12862552,11279,3716
12931336,12,3731
12978276,309,3747
13031452,11232,3765
13094036,11416,3775
13162836,470,3776
13231704,625,3815
13294308,532,3813
13347568,433,3822
13410376,11575,3834
13479552,601,3834
13532608,478,3868
13595172,608,3878
13648292,479,3862
13695236,587,3903
13764328,11730,3880
13833420,11669,3924
13896024,11836,3915
13965168,416,3912
14012128,519,3915
14064716,577,3945
14133788,2659,3949
14180508,180,3955
14249220,11830,3949
14311820,565,3987
14364908,383,3977
14433792,12225,4014
14496396,3,4011
14565212,12184,3983
14634008,279,4021
14696596,12034,4054
14765392,12295,4086
14850212,318,4082
14912904,12444,4089
14981996,366,4070
15050568,391,4106
15113228,425,4126
15166760,378,4142
15235108,39,1942
15282052,308,4160
15335156,12586,4151
15398016,422,4145
15450428,12640,4185
15515556,535,4219
15567500,424,4206
15636696,502,4176
15683624,255,4220
15752280,503,4241
15799244,363,4247
15867992,13087,4231
15936804,12898,4291
15999424,249,4304
16052596,12935,4306
16115112,13011,4306
16183948,702,4291
16253056,13292,4381
16315712,4,4315
16368312,13198,4368
16437180,5,4381
16499720,13191,4409
16569116,13404,4402
16652776,481,4408
16715384,759,4458
16768848,13544,4433
16853272,484,4430
16915888,446,4483
16969064,581,4468
17037840,13689,4490
17116104,3,4505
17169608,631,4533
17216588,506,4511
17269688,13744,4545
17338524,443,4523
17385636,13602,4577
17454368,13698,4551
17516988,14016,4589
17585784,14046,4561
17654584,13841,4630
17717168,585,4607
17770756,14329,4692
17839020,14017,4635
17901576,13992,4716
17970560,14239,4694
18054944,14402,4748
18139488,5,4744
18201972,508,4732
18270804,14442,4791
18355276,14215,4781
18418452,458,4784
18471436,13754,4809
18539920,14808,4807
18602520,321,4837
18671252,14696,4872
18740016,14906,4856
18818244,7,4834
18871400,16,4903
18940196,14650,4903
19002816,5,4940
19071512,15264,4921
19140324,476,4981
19202912,15098,4933
19271708,8,5043
19340508,15223,5018
19418768,14823,5039
19487912,14941,5048
19571848,502,5049
19618808,479,5093
19672004,7,5093
19740796,8,5080
19787728,15279,5117
19856524,15495,5120
19940980,6,5170
19987920,15792,5154
20072328,15544,5211
20141544,15892,5208
20219820,15929,5223
20288548,129,5270
20357364,15961,5269
20420504,15936,5257
20489220,788,5350
20557896,450,5305
20620496,16196,5394
20689292,16561,5378
20773700,7,5378
20820624,16382,5356
20889456,16571,5419
20958308,16308,5424
21020908,14,5459
21074084,16413,5468
21158456,16489,5477
21243120,657,5487
21305652,16983,5521
21374416,16637,5602
21458872,16949,5578
21543312,17307,5596
21621560,16559,5640
21690600,498,5676
21743736,16993,5664
21806320,17092,5679
21875156,17588,5688
21959560,17984,5722
22044396,17199,5754
22122536,17228,5748
22191352,14862,5792
22260552,17564,5850
22345020,5,5841
22407888,17747,5869
22476564,17771,5871
22545708,5,5925
22592648,17932,5934
22677088,18292,5938
22761444,17861,5990
22846212,17830,6028
22924456,17811,6018
22992752,18384,6074
23077364,18761,6078
23162028,18421,6109
23246504,18377,6111
23324748,5,6180
23377888,18524,6179
23462660,18979,6189
23525192,18277,6191
23609644,18774,6267
23678616,19107,6228
23763112,19346,6277
23825676,18918,6292
23910132,627,6350
23978916,19617,6398
24063376,301,6366
24125956,19212,6451
24194756,19388,6459
24279420,19722,6531
24364052,19335,6521
24426620,5,6518
24495900,19793,6522
24579824,20431,6558
