TIME,RPM,WSS
0,18056,6200
83244,17868,6106
156900,17866,6078
228516,17600,5979
300496,17399,5973
370936,17596,5929
441268,17426,5874
511468,16989,5827
582008,17186,5811
651080,16875,5765
719424,16601,5678
786492,16914,5623
854400,16256,5587
920096,16391,5586
987020,16481,5563
1052996,16439,5519
1119264,15979,5433
1184908,16276,5430
1249808,16007,5411
1329700,16191,5343
1409324,15452,5259
1487468,15826,5256
1565868,15728,5256
1644180,14965,5178
1721040,15289,5121
1797588,14969,5141
1874220,15143,5042
1949128,14635,5054
2022196,14783,4977
2096492,14895,4949
2170252,14257,4918
2244068,14457,4864
2315892,14343,4849
2388236,14410,4796
2459280,13930,4768
2528784,13689,4749
2599688,13959,4690
2669036,13441,4645
2738696,13933,4644
2808200,13327,4566
2876024,13586,4563
2944252,13821,4529
3010500,13431,4536
3077304,13236,4474
3143072,13137,4439
3210136,12745,4417
3274792,12749,4377
3340348,12738,4374
3404648,12983,4330
3467904,12854,4325
3532472,12903,4257
3595800,12799,4228
3659056,12452,4206
3721552,12339,4147
3783524,11583,4160
3844568,12167,4114
3905768,12214,4126
3966076,12261,4058
4026792,12555,4049
4087280,11691,4039
4159032,12011,4014
4230404,11649,3980
4300220,11728,3952
4370540,11600,3905
4439612,11216,3893
4509200,11534,3871
4577600,11225,3825
4645512,11119,3807
4712940,10954,3790
4779896,11838,3743
4848000,10992,3747
4912868,10614,3704
4979048,10642,3694
5044156,10396,3626
5109140,11023,3642
5175444,10799,3593
5237544,10324,3567
5301836,10572,3580
5366012,10464,3529
5428144,10535,3546
5490288,10594,3499
5552420,10376,3483
5615784,10093,3442
5677084,9790,3428
5738576,10181,3431
5799512,10053,3411
5859600,10024,3407
5919760,9776,3406
5980816,10126,3335
6040892,10249,3322
6099888,9706,3332
6158144,9574,3325
6217736,10010,3269
6276264,9537,3266
6334536,9800,3260
6393204,9578,3262
6451288,9546,3269
6517972,9394,3235
6584360,9352,3188
6641972,9457,3173
6708084,9287,3179
6774388,9447,3145
6839652,9257,3139
6905004,9391,3117
6970540,9401,3083
7035324,9198,3082
7099376,9008,3089
7162996,9104,3073
7227620,9120,3048
7291084,9262,3011
7355208,8948,3036
7418236,8910,3041
7480764,8645,3002
7544024,9413,3005
7607212,8949,2971
7669480,8874,2958
7730832,9028,3014
7793464,8806,2952
7854228,8476,2953
7917020,8884,2899
